service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
"testing, KEPI vaccines, as",testing kepi vaccines as,OTHER,,,included,,[],,,{},5,"testing, KEPI vaccines, as","testing, KEPI vaccines, as",enhanced_text,LOW,False
"➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication.
➢ Bedside services including
physiotherap",intra admission consultation and reviews by both general and specialist consultants laboratory investigations medical imaging procedures and medication bedside services including physiotherapy occupational therapy oxygen supply medical consumables and therapeutic nutritional support cross matching and administration of blood and blood products derivatives and components artificial blood products and biological serum post discharge medication or follow up within the treatment plan,IMAGING,,,included,,[],,,{},5,"➢ Intra-admission consultation and reviews by both general and specialist consultants, Laboratory investigations, medical imaging, procedures, and medication. ➢ Bedside services including physiothe...","➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication.
➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatmen",enhanced_table_0_row_0,MEDIUM,
"Health education and wellness,
counselling, and ongoing support as
needed
➢ Consultation, diagnosis, and
treatment.
➢ Prescribed laboratory
investigations.
➢ Basic radiological examinations
including ",health education and wellness counselling and ongoing support as needed consultation diagnosis and treatment prescribed laboratory investigations basic radiological examinations including x rays ultrasounds prescription drug administration and dispensing,IMAGING,2000.0,per_year,included,Level 4-6,"[4, 5, 6]",,,{},5,"Health education and wellness, counselling, and ongoing support as needed ➢ Consultation, diagnosis, and treatment. ➢ Prescribed laboratory investigations. ➢ Basic radiological examinations includi...","Health education and wellness,
counselling, and ongoing support as
needed
➢ Consultation, diagnosis, and
treatment.
➢ Prescribed laboratory
investigations.
➢ Basic radiological examinations
including X-rays, ultrasounds.
➢ Prescription, drug administration
and dispensing Level 4-6 ➢ KES 2,000
➢ PPM: Fee for Service –
Fixed Fee
➢ ARVs, HIV testing and
follow up tests, family
planning commodities, anti-
malarial medication and
testing, anti TBs and
testing, KEPI vaccines, as
provided in the guidel",enhanced_table_0_row_4,HIGH,
➢ Management of acute and chronic will be offered at no cost to,management of acute and chronic will be offered at no cost to,OTHER,0.0,,included,,[],,,{},6,➢ Management of acute and chronic will be offered at no cost to,➢ Management of acute and chronic will be offered at no cost to,enhanced_text,MEDIUM,True
meals and nursing care in a general ➢ Limit: Up to 50 days per Household,meals and nursing care in a general limit up to 50 days per household,OTHER,,,included,,[],,,"{'max_days': 50, 'days_per_year': 50}",6,meals and nursing care in a general ➢ Limit: Up to 50 days per Household,meals and nursing care in a general ➢ Limit: Up to 50 days per Household,enhanced_text,LOW,False
"➢ Management of acute and chronic
conditions for endemic/local
cases
➢ Management of NCDs, enteric
infections; neglected tropical
diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
cond",management of acute and chronic conditions for endemic local cases management of ncds enteric infections neglected tropical diseases ntds sti s and hiv aids screening for common health conditions minor surgical procedures and medical procedures immunization as per the kepi schedule and recommended special vaccines reproductive maternal and child health services as defined by the moh guidelines,SURGERY,,,included,,[],,,{},6,"➢ Management of acute and chronic conditions for endemic/local cases ➢ Management of NCDs, enteric infections; neglected tropical diseases (NTDs), STI’s and HIV/AIDS ➢ Screening for common health c...","➢ Management of acute and chronic
conditions for endemic/local
cases
➢ Management of NCDs, enteric
infections; neglected tropical
diseases (NTDs), STI’s and
HIV/AIDS
➢ Screening for common health
conditions
➢ Minor surgical procedures and
medical procedures
➢ Immunization as per the KEPI
schedule and recommended
special vaccines
➢ Reproductive, Maternal and Child
Health Services as defined by the
MOH guidelines will be offered at no cost to
the patient.",enhanced_table_0_row_0,MEDIUM,
"Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation
➢ Hospital accommodation charges,
meals and nursing care in a general
ward bed
➢ Intra-admis",inpatient services shall include management of disease condition while admitted pre admission evaluation hospital accommodation charges meals and nursing care in a general ward bed intra admission consultation and reviews by both general and specialist consultants laboratory investigations medical imaging procedures and medication,IMAGING,3500.0,per_household,included,Level 4-6,"[4, 5, 6]",,,"{'max_days': 50, 'days_per_year': 50}",6,"Inpatient services shall include management of disease/condition while admitted. ➢ Pre-admission evaluation ➢ Hospital accommodation charges, meals and nursing care in a general ward bed ➢ Intra-ad...","Inpatient services shall include
management of disease/condition
while admitted.
➢ Pre-admission evaluation
➢ Hospital accommodation charges,
meals and nursing care in a general
ward bed
➢ Intra-admission consultation and
reviews by both general and
specialist consultants, Laboratory
investigations, medical imaging,
procedures, and medication Level 4-6 ➢ Level 4 – KES 3,500
➢ Level 5 – KES 4,000
➢ Level 6 – KES 5,000
➢ PPM: Per Diem ➢ Limit: Up to 50 days per Household
➢ Days above that charged ",enhanced_table_0_row_3,HIGH,
"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",maternity neonatal and child health services,MATERNITY,,,included,,[],,,{},7,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES","MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",enhanced_text,LOW,False
"Delivery by ways of normal delivery, ➢ Normal delivery - maximum stay of",delivery by ways of normal delivery normal delivery maximum stay of,MATERNITY,,,included,,[],,,{},7,"Delivery by ways of normal delivery, ➢ Normal delivery - maximum stay of","Delivery by ways of normal delivery, ➢ Normal delivery - maximum stay of",enhanced_text,LOW,False
assisted delivery and caesarean section 48 hours,assisted delivery and caesarean section 48 hours,MATERNITY,,,included,,[],,,{},7,assisted delivery and caesarean section 48 hours,assisted delivery and caesarean section 48 hours,enhanced_text,LOW,False
as necessitated. ➢ C-section - maximum stay of 72,as necessitated c section maximum stay of 72,MATERNITY,,,included,,[],,,{},7,as necessitated. ➢ C-section - maximum stay of 72,as necessitated. ➢ C-section - maximum stay of 72,enhanced_text,LOW,False
➢ Aftercare for the mother together hours (including pregnancy,aftercare for the mother together hours including pregnancy,OTHER,,,included,,[],,,{},7,➢ Aftercare for the mother together hours (including pregnancy,➢ Aftercare for the mother together hours (including pregnancy,enhanced_text,LOW,False
➢ Normal Delivery and,normal delivery and,MATERNITY,,,included,,[],,,{},7,➢ Normal Delivery and,➢ Normal Delivery and,enhanced_text,LOW,False
essential newborn care–,essential newborn care,OTHER,,,included,,[],,,{},7,essential newborn care–,essential newborn care–,enhanced_text,LOW,False
care and nursing care. ➢ SHIF maternity services will be,care and nursing care shif maternity services will be,MATERNITY,,,included,,[],,,{},7,care and nursing care. ➢ SHIF maternity services will be,care and nursing care. ➢ SHIF maternity services will be,enhanced_text,LOW,False
"➢ Operating, recovery, maternity accessed by members and their",operating recovery maternity accessed by members and their,MATERNITY,,,included,,[],,,{},7,"➢ Operating, recovery, maternity accessed by members and their","➢ Operating, recovery, maternity accessed by members and their",enhanced_text,LOW,False
➢ Caesarean Section and,caesarean section and,MATERNITY,,,included,,[],,,{},7,➢ Caesarean Section and,➢ Caesarean Section and,enhanced_text,LOW,False
ward and other treatment room Level 4-6 dependants with up-to-date,ward and other treatment room level 4 6 dependants with up to date,OTHER,,,included,Level 4-6,"[4, 5, 6]",,,{},7,ward and other treatment room Level 4-6 dependants with up-to-date,ward and other treatment room Level 4-6 dependants with up-to-date,enhanced_text,LOW,False
➢ Immunization for the newborn. complications beyond 48 hours for,immunization for the newborn complications beyond 48 hours for,OTHER,,,included,,[],,,{},7,➢ Immunization for the newborn. complications beyond 48 hours for,➢ Immunization for the newborn. complications beyond 48 hours for,enhanced_text,LOW,False
"discharge medication. deliveries, then per diem rate takes",discharge medication deliveries then per diem rate takes,OTHER,,,included,,[],,,{},7,"discharge medication. deliveries, then per diem rate takes","discharge medication. deliveries, then per diem rate takes",enhanced_text,LOW,False
➢ Diagnostic laboratory tests. effect. All claims in this category will,diagnostic laboratory tests effect all claims in this category will,OTHER,,,included,,[],,,{},7,➢ Diagnostic laboratory tests. effect. All claims in this category will,➢ Diagnostic laboratory tests. effect. All claims in this category will,enhanced_text,LOW,False
➢ Administration of blood and have to undergo surveillance.,administration of blood and have to undergo surveillance,OTHER,,,included,,[],,,{},7,➢ Administration of blood and have to undergo surveillance.,➢ Administration of blood and have to undergo surveillance.,enhanced_text,LOW,False
blood products; derivatives and,blood products derivatives and,OTHER,,,included,,[],,,{},7,blood products; derivatives and,blood products; derivatives and,enhanced_text,LOW,False
"➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
produc",bedside services including physiotherapy occupational therapy oxygen supply medical consumables and therapeutic nutritional support cross matching and administration of blood and blood products derivatives and components artificial blood products and biological serum post discharge medication or follow up within the treatment plan,STROKE,,,included,,[],,,{},7,"➢ Bedside services including physiotherapy, occupational therapy, oxygen supply, medical consumables, and therapeutic nutritional support. ➢ Cross-matching and administration of blood and blood pro...","➢ Bedside services including
physiotherapy, occupational
therapy, oxygen supply, medical
consumables, and therapeutic
nutritional support.
➢ Cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological serum.
➢ Post-discharge medication or
follow-up within the treatment
plan.",enhanced_table_0_row_0,MEDIUM,
"Delivery by ways of normal delivery,
assisted delivery and caesarean section
as necessitated.
➢ Aftercare for the mother together
with the newborn.
➢ Midwifery, including episiotomy
care and nursing c",delivery by ways of normal delivery assisted delivery and caesarean section as necessitated aftercare for the mother together with the newborn midwifery including episiotomy care and nursing care operating recovery maternity ward and other treatment room charges including meals and special diets immunization for the newborn intra admission and post discharge medication diagnostic laboratory tests administration of blood and blood products derivatives and,MATERNITY,11200.0,unspecified,included,Level 4-6,"[4, 5, 6]",,,{},7,"Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated. ➢ Aftercare for the mother together with the newborn. ➢ Midwifery, including episiotomy care and nursin...","Delivery by ways of normal delivery,
assisted delivery and caesarean section
as necessitated.
➢ Aftercare for the mother together
with the newborn.
➢ Midwifery, including episiotomy
care and nursing care.
➢ Operating, recovery, maternity
ward and other treatment room
charges including meals and
special diets.
➢ Immunization for the newborn.
➢ Intra-admission and post-
discharge medication.
➢ Diagnostic laboratory tests.
➢ Administration of blood and
blood products; derivatives and Level 4-6 ➢ No",enhanced_table_0_row_3,HIGH,
